sitename,cluster,lon,lat,elv,year_start,year_end,classid,c4,whc,koeppen_code,igbp_land_use,plant_functional_type
AR-Vir,cGR,-56.1886,-28.2395,97,2009,2012,ENF,FALSE,302.4275513,Csb,NA,NA
AU-Ade,cGR,131.1178,-13.0769,81,2007,2009,WSA,FALSE,269.2186584,Aw,Savannas,Grass
AU-ASM,cDD,133.249,-22.283,606,2010,2013,ENF,FALSE,214.5842743,BSh,Open Shrublands,Shrub
AU-DaP,cDD,131.3181,-14.0633,102,2007,2013,GRA,FALSE,294.6303406,Aw,Savannas,Grass
AU-DaS,cGR,131.3881,-14.1593,98,2008,2014,SAV,FALSE,249.2509155,Aw,Savannas,Grass
AU-Dry,cGR,132.3706,-15.2588,172,2008,2014,SAV,FALSE,239.1561279,Aw,Savannas,Grass
AU-Fog,cDD,131.3072,-12.5452,25,2006,2008,WET,FALSE,321.4286194,Aw,Savannas,Grass
AU-Gin,cGR,115.7138,-31.3764,51,2011,2014,WSA,FALSE,194.4478455,Csa,Woody Savannas,Shrub
AU-How,cGR,131.1523,-12.4943,41,2001,2014,WSA,TRUE,307.5285645,Aw,Savannas,Grass
AU-Stp,cDD,133.3502,-17.1507,227,2008,2014,GRA,FALSE,283.4158936,BSh,Grasslands,Grass
AU-Whr,cGR,145.0294,-36.6732,152,2011,2014,EBF,FALSE,271.4973755,Cfb,Woody Savannas,Shrub
AU-Wom,cLS,144.0944,-37.4222,705,2010,2012,EBF,FALSE,189.5709991,Cfb,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
BE-Bra,cNA,4.5206,51.3092,16,1996,2014,MF,FALSE,85.68379974,Cfb,Mixed Forests,Deciduous Broadleaf Trees
BE-Vie,cNA,5.9981,50.3051,493,1996,2014,MF,FALSE,312.7651978,Cfb,Mixed Forests,Deciduous Broadleaf Trees
CH-Fru,cNA,8.5378,47.1158,982,2005,2014,GRA,FALSE,285.3380432,Cfb,Cropland/Natural Vegetation Mosaic,Grass
CH-Lae,cNA,8.365,47.4781,689,2004,2014,MF,FALSE,292.4555054,Cfb,Mixed Forests,Deciduous Broadleaf Trees
CH-Oe1,cLS,7.7319,47.2858,450,2002,2008,GRA,FALSE,316.348877,Cfb,Croplands,Cereal crop
CN-Cng,cLS,123.5092,44.5934,140,2007,2010,GRA,FALSE,244.4484558,Bsh,NA,NA
CN-Qia,cGR,115.0581,26.7414,64,2003,2005,ENF,FALSE,303.6759644,Cfa,Woody Savannas,Shrub
CZ-wet,cLS,14.7704,49.0247,426,2006,2014,WET,FALSE,321.1204529,Cfb,Croplands,Cereal crop
DE-Akm,cLS,13.6834,53.8662,-1,2009,2014,WET,FALSE,268.3578796,Cfb,Urban and Built-Up,Urban and built up
DE-Geb,cLS,10.9143,51.1001,161.5,2001,2014,CRO,FALSE,332.9700928,Cfb,Croplands,Cereal crop
DE-Gri,cNA,13.5125,50.9495,385,2004,2014,GRA,FALSE,338.5259399,Cfb,Mixed Forests,Deciduous Broadleaf Trees
DE-Hai,cLS,10.453,51.0792,430,2000,2012,DBF,FALSE,282.6673584,Cfb,Mixed Forests,Deciduous Broadleaf Trees
DE-Kli,cNA,13.5225,50.8929,478,2004,2014,CRO,TRUE,326.19104,Cfb,Croplands,Cereal crop
DE-Obe,cNA,13.7196,50.7836,735,2008,2014,ENF,FALSE,246.8653564,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
DE-RuR,cNA,6.3041,50.6219,514.7,2011,2014,GRA,FALSE,327.4595032,Cfb,Grasslands,Grass
DE-Spw,cNA,14.0337,51.8923,63,2010,2014,WET,FALSE,194.3483734,Cfb,Mixed Forests,Deciduous Broadleaf Trees
DE-Tha,cNA,13.5669,50.9636,380,1996,2014,ENF,FALSE,295.663147,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
DK-NuF,cNA,-51.3861,64.1308,50,2008,2014,WET,FALSE,102.6077728,ET,Open Shrublands,Shrub
DK-Sor,cLS,11.6446,55.4859,40,1996,2014,DBF,FALSE,226.4378052,Cfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
FI-Hyy,cNA,24.295,61.8475,181,1996,2014,ENF,FALSE,255.05896,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
FI-Sod,cNA,26.6378,67.3619,180,2001,2014,ENF,FALSE,197.9191437,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
FR-Fon,cLS,2.7801,48.4764,103,2005,2014,DBF,FALSE,335.1929016,Cfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
FR-LBr,cGR,-0.7693,44.7171,61,1996,2008,ENF,FALSE,269.5765686,Cfb,Cropland/Natural Vegetation Mosaic,Shrub
FR-Pue,cGR,3.5958,43.7414,270,2000,2014,EBF,FALSE,239.649292,Csa,Mixed Forests,Evergreen Needleleaf Trees
IT-Col,cLS,13.5881,41.8494,1560,1996,2014,DBF,FALSE,267.9767456,Cfa,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
IT-Cp2,cGR,12.3573,41.7043,19,2012,2014,EBF,FALSE,306.132843,Csa,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Cpz,cGR,12.3761,41.7052,68,1997,2009,EBF,FALSE,305.0664368,Csa,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Isp,cNA,8.6336,45.8126,210,2013,2014,DBF,FALSE,320.6810303,Cfb,Woody Savannas,Deciduous Broadleaf Trees
IT-Lav,cNA,11.2813,45.9562,1353,2003,2014,ENF,FALSE,249.7970886,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-MBo,cNA,11.0458,46.0147,1550,2003,2013,GRA,FALSE,264.4438477,Dfb,Grasslands,Grass
IT-Noe,cGR,8.1515,40.6061,28,2004,2014,CSH,FALSE,237.0160522,-,Woody Savannas,Shrub
IT-PT1,cLS,9.061,45.2009,60,2002,2004,DBF,FALSE,317.9853516,Cfa,Croplands,Cereal crop
IT-Ren,cLS,11.4337,46.5869,1730,1998,2013,ENF,FALSE,167.4517212,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Ro1,cGR,11.93,42.4081,235,2000,2008,DBF,FALSE,269.2074585,Csa,Cropland/Natural Vegetation Mosaic,Deciduous Broadleaf Trees
IT-SR2,cLS,10.291,43.732,12,2013,2014,ENF,FALSE,286.2259827,Csa,Mixed Forests,Evergreen Needleleaf Trees
IT-SRo,cGR,10.2844,43.7279,6,1999,2012,ENF,FALSE,286.2259827,Csa,Water,Water
IT-Tor,cLS,7.5781,45.8444,2160,2008,2014,GRA,FALSE,156.7254639,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
JP-SMF,cNA,137.0788,35.2617,175,2002,2006,MF,FALSE,294.9473877,Cfa,Croplands,Cereal crop
NL-Hor,cLS,5.0713,52.2404,2.2,2004,2011,GRA,FALSE,335.8494568,Cfb,Mixed Forests,Deciduous Broadleaf Trees
NL-Loo,cLS,5.7436,52.1666,25,1996,2013,ENF,FALSE,71.05941772,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
RU-Fyo,cLS,32.9221,56.4615,265,1998,2014,ENF,FALSE,301.4570923,Dfb,Mixed Forests,Evergreen Needleleaf Trees
SD-Dem,cDD,30.4783,13.2829,500,2005,2009,SAV,FALSE,200.0503845,BWh,Grasslands,Grass
SN-Dhr,cDD,-15.4322,15.4028,40,2010,2013,SAV,FALSE,196.4972076,BWh,Grasslands,Grass
US-GLE,cLS,-106.2399,41.3665,3197,2004,2014,ENF,FALSE,207.5405273,Dfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
US-Ha1,cNA,-72.1715,42.5378,340,1991,2012,DBF,FALSE,193.8503265,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Los,cNA,-89.9792,46.0827,480,2000,2014,WET,FALSE,233.3768768,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Me2,cLS,-121.5574,44.4523,1253,2002,2014,ENF,FALSE,244.583313,Csb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
US-MMS,cLS,-86.4131,39.3232,275,1999,2014,DBF,FALSE,343.0158081,Cfa,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-PFa,NA,-90.2723,45.9459,470,1995,2014,MF,FALSE,203.7393341,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-SRG,cDD,-110.8277,31.7894,1291,2008,2014,GRA,FALSE,154.8731995,BSk,Grasslands,Shrub
US-SRM,cDD,-110.8661,31.8214,1120,2004,2014,WSA,FALSE,201.2453918,BSk,Open Shrublands,Shrub
US-Syv,cNA,-89.3477,46.242,540,2001,2014,MF,FALSE,222.6920776,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Ton,cDD,-120.966,38.4316,177,2001,2014,WSA,FALSE,304.4613953,Csa,Woody Savannas,Shrub
US-UMB,cLS,-84.7138,45.5598,234,2000,2014,DBF,FALSE,174.0702515,Dfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-UMd,cLS,-84.6975,45.5625,239,2007,2014,DBF,FALSE,235.3118286,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Var,cDD,-120.9507,38.4133,129,2000,2014,GRA,FALSE,307.5137329,Csa,Woody Savannas,Shrub
US-WCr,cLS,-90.0799,45.8059,520,1999,2014,DBF,FALSE,264.9615173,Dfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-Wi4,cNA,-91.1663,46.7393,352,2002,2005,ENF,FALSE,299.2953796,Dfb,Mixed Forests,Evergreen Needleleaf Trees
ZM-Mon,cDD,23.2528,-15.4378,1053,2000,2009,DBF,FALSE,132.6269684,Aw,Savannas,Grass
